condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,167,43.2302,43.2415,43.2036,-0.8015,18.567038,18.610242
load,SCHED_OTHER,0,20260808,168,38.9080,39.6458,39.6213,-0.0569,18.632420,18.672042
load,SCHED_OTHER,0,20260808,169,26.3595,26.3846,26.3703,-0.7456,18.763245,18.789615
load,SCHED_OTHER,0,20260808,170,48.9870,49.3282,49.3062,-0.4621,18.825772,18.875078
load,SCHED_OTHER,0,20260808,171,16.2572,18.5007,18.4640,1.4615,18.928276,18.946740
load,SCHED_OTHER,0,20260808,172,9.9634,9.9836,10.0024,-0.6994,18.970941,18.980943
load,SCHED_OTHER,0,20260808,173,37.6243,37.8851,37.8230,-0.5701,19.037939,19.075762
load,SCHED_OTHER,0,20260808,174,7.5579,7.5616,7.5379,-0.7557,19.123931,19.131469
load,SCHED_OTHER,0,20260808,175,12.0800,12.1700,12.1719,-0.6489,19.147570,19.159742
load,SCHED_OTHER,0,20260808,176,49.1478,49.1761,49.1396,-0.7896,19.222942,19.272082
load,SCHED_OTHER,0,20260808,177,29.1773,30.0205,30.0045,0.0677,19.346065,19.376069
load,SCHED_OTHER,0,20260808,178,42.9910,45.4998,45.4579,1.6923,19.448293,19.493750
load,SCHED_OTHER,0,20260808,179,43.9809,45.8309,45.8055,1.0489,19.528931,19.574737
load,SCHED_OTHER,0,20260808,180,27.8839,27.9050,27.9569,-0.6851,19.668978,19.696935
load,SCHED_OTHER,0,20260808,181,15.4914,17.7396,17.7100,1.4741,19.711036,19.728746
load,SCHED_OTHER,0,20260808,182,13.7549,14.8212,14.7748,0.2773,19.819964,19.834739
load,SCHED_OTHER,0,20260808,183,8.5707,8.5910,8.5668,-0.7408,19.910992,19.919559
load,SCHED_OTHER,0,20260808,184,8.1267,10.9853,10.9536,2.0905,20.007769,20.018723
load,SCHED_OTHER,0,20260808,185,11.3669,11.8656,11.8219,-0.2849,20.062915,20.074737
load,SCHED_OTHER,0,20260808,186,32.0744,34.8495,34.8291,1.9920,20.129914,20.164744
load,SCHED_OTHER,0,20260808,187,25.0029,25.0137,24.9938,-0.7640,20.195918,20.220912
load,SCHED_OTHER,0,20260808,188,41.7654,42.7106,42.6956,0.1569,20.239046,20.281742
load,SCHED_OTHER,0,20260808,189,32.7576,32.7838,32.7608,-0.7602,20.371012,20.403773
load,SCHED_OTHER,0,20260808,190,46.5135,46.5295,46.5191,-0.7729,20.450952,20.497471
load,SCHED_OTHER,0,20260808,191,15.3066,16.8854,16.8187,0.7678,20.521910,20.538729
load,SCHED_OTHER,0,20260808,192,33.6571,33.6819,33.6492,-0.7723,20.593933,20.627582
load,SCHED_OTHER,0,20260808,193,6.5452,6.5643,6.5531,-0.7267,20.649741,20.656294
load,SCHED_OTHER,0,20260808,194,35.9349,36.3133,36.2888,-0.4130,20.672441,20.708730
load,SCHED_OTHER,0,20260808,195,12.1513,12.1718,12.1252,-0.7669,20.720907,20.733032
load,SCHED_OTHER,0,20260808,196,37.7828,37.8618,37.8284,-0.7234,20.812898,20.850726
load,SCHED_OTHER,0,20260808,197,15.3057,17.7921,17.7776,1.7276,20.946946,20.964723
load,SCHED_OTHER,0,20260808,198,7.8705,9.0895,9.0592,0.4525,21.005906,21.014965
load,SCHED_OTHER,0,20260808,199,28.9200,28.9426,28.9258,-0.7534,21.077130,21.106055
load,SCHED_OTHER,0,20260808,200,22.3716,22.5367,22.5188,-0.6049,21.127223,21.149742
load,SCHED_OTHER,0,20260808,201,10.8356,11.8116,11.7944,0.2194,21.185903,21.197697
load,SCHED_OTHER,0,20260808,202,27.0310,27.0547,27.0432,-0.7450,21.274894,21.301937
load,SCHED_OTHER,0,20260808,203,11.6840,12.6207,12.5814,0.1571,21.357134,21.369715
load,SCHED_OTHER,0,20260808,204,11.3756,12.8135,12.7808,0.6652,21.433925,21.446706
load,SCHED_OTHER,0,20260808,205,5.5524,5.8505,5.8414,-0.4446,21.487890,21.493731
load,SCHED_OTHER,0,20260808,206,38.5834,38.5927,38.5672,-0.7861,21.570939,21.609506
load,SCHED_OTHER,0,20260808,207,18.7568,19.1057,19.0773,-0.4276,21.623637,21.642714
load,SCHED_OTHER,0,20260808,208,20.8020,21.8248,21.7973,0.2450,21.736942,21.758740
load,SCHED_OTHER,0,20260808,209,31.4929,31.5167,31.4893,-0.7656,21.804925,21.836415
load,SCHED_OTHER,0,20260808,210,6.1524,6.1556,6.1674,-0.7192,21.921714,21.927881
load,SCHED_OTHER,0,20260808,211,34.3462,34.7247,34.7170,-0.3943,21.970998,22.005715
load,SCHED_OTHER,0,20260808,212,34.3418,34.7288,34.7174,-0.3896,22.024984,22.059701
load,SCHED_OTHER,0,20260808,213,24.2291,24.2516,24.2352,-0.7479,22.144912,22.169147
load,SCHED_OTHER,0,20260808,214,42.5961,44.3806,44.3512,0.9809,22.249350,22.293701
load,SCHED_OTHER,0,20260808,215,44.1214,45.8786,45.8454,0.9481,22.360906,22.406751
load,SCHED_OTHER,0,20260808,216,28.9776,29.0014,28.9714,-0.7655,22.419996,22.448967
load,SCHED_OTHER,0,20260808,217,15.4681,15.4739,15.4444,-0.7682,22.543209,22.558653
load,SCHED_OTHER,0,20260808,218,41.9709,41.9857,42.0112,-0.7333,22.610865,22.652877
load,SCHED_OTHER,0,20260808,219,13.6316,14.6962,14.6641,0.2900,22.726034,22.740698
