condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
idle,SCHED_OTHER,0,20260808,219,13.6316,13.6352,13.6366,0.0058,22.710338,22.723974
idle,SCHED_OTHER,0,20260808,220,19.8101,19.8129,19.8105,0.0021,22.738104,22.757915
idle,SCHED_OTHER,0,20260808,221,31.4753,31.4941,31.4861,0.0142,22.808062,22.839548
idle,SCHED_OTHER,0,20260808,222,19.3570,19.3603,19.3644,0.0090,22.936697,22.956061
idle,SCHED_OTHER,0,20260808,223,40.6633,40.6820,40.6536,-0.0050,23.045245,23.085899
idle,SCHED_OTHER,0,20260808,224,17.5439,17.5623,17.5564,0.0139,23.111014,23.128570
idle,SCHED_OTHER,0,20260808,225,23.4802,23.4835,23.4764,-0.0016,23.216790,23.240266
idle,SCHED_OTHER,0,20260808,226,12.4881,12.5068,12.5001,0.0126,23.317422,23.329922
idle,SCHED_OTHER,0,20260808,227,49.8066,49.8299,49.8272,0.0266,23.378056,23.427884
idle,SCHED_OTHER,0,20260808,228,17.0052,17.0148,16.9958,-0.0081,23.456038,23.473034
idle,SCHED_OTHER,0,20260808,229,47.5055,47.5098,47.4907,-0.0091,23.559230,23.606721
idle,SCHED_OTHER,0,20260808,230,37.1766,37.1801,37.1642,-0.0081,23.687907,23.725071
idle,SCHED_OTHER,0,20260808,231,27.6806,27.7028,27.6887,0.0109,23.824286,23.851974
idle,SCHED_OTHER,0,20260808,232,44.6110,44.6319,44.5635,-0.0422,23.911182,23.955746
idle,SCHED_OTHER,0,20260808,233,8.8614,8.8818,8.8820,0.0206,24.025878,24.034760
idle,SCHED_OTHER,0,20260808,234,11.3722,11.3750,11.3473,-0.0245,24.122990,24.134338
idle,SCHED_OTHER,0,20260808,235,43.8447,43.8505,43.8323,-0.0072,24.225534,24.269366
idle,SCHED_OTHER,0,20260808,236,34.4729,34.4929,34.4978,0.0287,24.294484,24.328982
idle,SCHED_OTHER,0,20260808,237,46.3907,46.3952,46.3165,-0.0686,24.368173,24.414490
idle,SCHED_OTHER,0,20260808,238,44.3531,44.3762,44.3768,0.0289,24.494653,24.539029
idle,SCHED_OTHER,0,20260808,239,26.6864,26.6913,26.6888,0.0051,24.630201,24.656890
idle,SCHED_OTHER,0,20260808,240,49.4227,49.4257,49.4071,-0.0096,24.688023,24.737430
idle,SCHED_OTHER,0,20260808,241,5.6745,5.6936,5.6860,0.0111,24.774561,24.780247
idle,SCHED_OTHER,0,20260808,242,34.3058,34.3284,34.3255,0.0235,24.810365,24.844691
idle,SCHED_OTHER,0,20260808,243,30.6999,30.7058,30.6954,-0.0013,24.934874,24.965570
idle,SCHED_OTHER,0,20260808,244,33.5417,33.5443,33.5462,0.0082,24.978665,25.012211
idle,SCHED_OTHER,0,20260808,245,19.4215,19.4249,19.4245,0.0046,25.090357,25.109782
idle,SCHED_OTHER,0,20260808,246,22.2334,22.2401,22.2321,0.0007,25.154918,25.177150
idle,SCHED_OTHER,0,20260808,247,10.8170,10.8191,10.8755,0.0589,25.259282,25.270158
idle,SCHED_OTHER,0,20260808,248,44.3468,44.3659,44.3512,0.0097,25.313374,25.357725
idle,SCHED_OTHER,0,20260808,249,23.4287,23.4310,23.4237,-0.0028,25.376859,25.400282
idle,SCHED_OTHER,0,20260808,250,34.0545,34.0572,34.0508,0.0000,25.413414,25.447465
idle,SCHED_OTHER,0,20260808,251,44.5794,44.5839,44.5578,-0.0163,25.474604,25.519162
idle,SCHED_OTHER,0,20260808,252,15.4305,15.4492,15.4300,0.0005,25.571338,25.586768
idle,SCHED_OTHER,0,20260808,253,36.7541,36.7805,36.7737,0.0237,25.648892,25.685666
idle,SCHED_OTHER,0,20260808,254,14.2166,14.2357,14.2319,0.0161,25.721798,25.736030
idle,SCHED_OTHER,0,20260808,255,14.3015,14.3205,14.3128,0.0122,25.803192,25.817504
idle,SCHED_OTHER,0,20260808,256,24.0606,24.0795,24.0517,-0.0066,25.886681,25.910733
idle,SCHED_OTHER,0,20260808,257,19.3217,19.3412,19.3309,0.0108,25.978939,25.998270
idle,SCHED_OTHER,0,20260808,258,13.7120,13.7163,13.5442,-0.1671,26.054599,26.068143
idle,SCHED_OTHER,0,20260808,259,27.2331,27.2550,27.2440,0.0136,26.140294,26.167538
idle,SCHED_OTHER,0,20260808,260,9.8346,9.8399,9.8399,0.0056,26.198640,26.208480
idle,SCHED_OTHER,0,20260808,261,44.0411,44.0631,44.0629,0.0270,26.247590,26.291653
idle,SCHED_OTHER,0,20260808,262,24.0952,24.1158,24.1160,0.0231,26.339781,26.363897
idle,SCHED_OTHER,0,20260808,263,6.9367,6.9395,6.8835,-0.0534,26.445131,26.452014
idle,SCHED_OTHER,0,20260808,264,25.7511,25.7545,25.7510,0.0024,26.524181,26.549932
idle,SCHED_OTHER,0,20260808,265,37.0292,37.0523,37.0355,0.0105,26.632129,26.669165
