condition,policy,priority,arm,delta_us
idle,SCHED_OTHER,0,dlp-first,43.6305
idle,SCHED_OTHER,0,dlp-first,31.9954
idle,SCHED_OTHER,0,dlp-first,34.2849
idle,SCHED_OTHER,0,dlp-first,28.7557
idle,SCHED_OTHER,0,dlp-first,28.0336
idle,SCHED_OTHER,0,dlp-first,31.9563
idle,SCHED_OTHER,0,dlp-first,27.0455
idle,SCHED_OTHER,0,dlp-first,46.9772
idle,SCHED_OTHER,0,dlp-first,32.8666
idle,SCHED_OTHER,0,dlp-first,42.9663
idle,SCHED_OTHER,0,dlp-first,120.0348
idle,SCHED_OTHER,0,dlp-first,32.5539
idle,SCHED_OTHER,0,dlp-first,33.6260
idle,SCHED_OTHER,0,dlp-first,29.2116
idle,SCHED_OTHER,0,dlp-first,42.1843
idle,SCHED_OTHER,0,dlp-first,35.4891
idle,SCHED_OTHER,0,dlp-first,45.4839
idle,SCHED_OTHER,0,dlp-first,29.8735
idle,SCHED_OTHER,0,dlp-first,35.2386
idle,SCHED_OTHER,0,dlp-first,30.9372
idle,SCHED_OTHER,0,dlp-first,24.9321
idle,SCHED_OTHER,0,dlp-first,33.7979
idle,SCHED_OTHER,0,dlp-first,34.9803
idle,SCHED_OTHER,0,dlp-first,27.2096
idle,SCHED_OTHER,0,dlp-first,25.1116
idle,SCHED_OTHER,0,dlp-first,33.1705
idle,SCHED_OTHER,0,dlp-first,42.8796
idle,SCHED_OTHER,0,dlp-first,52.5971
idle,SCHED_OTHER,0,dlp-first,49.0980
idle,SCHED_OTHER,0,dlp-first,45.0579
idle,SCHED_OTHER,0,dlp-first,41.9183
idle,SCHED_OTHER,0,dlp-first,48.6112
idle,SCHED_OTHER,0,dlp-first,35.5232
idle,SCHED_OTHER,0,dlp-first,35.1842
idle,SCHED_OTHER,0,dlp-first,35.1910
idle,SCHED_OTHER,0,dlp-first,36.7337
idle,SCHED_OTHER,0,dlp-first,30.3310
idle,SCHED_OTHER,0,dlp-first,47.4827
idle,SCHED_OTHER,0,dlp-first,35.2748
idle,SCHED_OTHER,0,dlp-first,46.1846
idle,SCHED_OTHER,0,dlp-first,40.0129
idle,SCHED_OTHER,0,dlp-first,119.4206
idle,SCHED_OTHER,0,dlp-first,29.6844
idle,SCHED_OTHER,0,dlp-first,41.1649
idle,SCHED_OTHER,0,dlp-first,56.3064
idle,SCHED_OTHER,0,dlp-first,36.5213
idle,SCHED_OTHER,0,dlp-first,47.7759
idle,SCHED_OTHER,0,dlp-first,41.2648
idle,SCHED_OTHER,0,dlp-first,41.1322
idle,SCHED_OTHER,0,dlp-first,27.9604
idle,SCHED_OTHER,0,dlp-first,44.2730
idle,SCHED_OTHER,0,dlp-first,51.9081
idle,SCHED_OTHER,0,dlp-first,37.9556
idle,SCHED_OTHER,0,dlp-first,35.7730
idle,SCHED_OTHER,0,dlp-first,42.8927
idle,SCHED_OTHER,0,dlp-first,49.1946
idle,SCHED_OTHER,0,dlp-first,20.1797
idle,SCHED_OTHER,0,dlp-first,37.9390
idle,SCHED_OTHER,0,dlp-first,48.0575
idle,SCHED_OTHER,0,dlp-first,40.9978
idle,SCHED_OTHER,0,dlp-first,26.4621
idle,SCHED_OTHER,0,dlp-first,41.5703
idle,SCHED_OTHER,0,dlp-first,35.6453
