condition,policy,priority,arm,delta_us
rt,SCHED_FIFO,50,dlp-first,49.6837
rt,SCHED_FIFO,50,dlp-first,48.0182
rt,SCHED_FIFO,50,dlp-first,49.8309
rt,SCHED_FIFO,50,dlp-first,35.3581
rt,SCHED_FIFO,50,dlp-first,22.0170
rt,SCHED_FIFO,50,dlp-first,24.3604
rt,SCHED_FIFO,50,dlp-first,21.9428
rt,SCHED_FIFO,50,dlp-first,58.6734
rt,SCHED_FIFO,50,dlp-first,55.9961
rt,SCHED_FIFO,50,dlp-first,45.3552
rt,SCHED_FIFO,50,dlp-first,42.7913
rt,SCHED_FIFO,50,dlp-first,44.4170
rt,SCHED_FIFO,50,dlp-first,48.2745
rt,SCHED_FIFO,50,dlp-first,40.3490
rt,SCHED_FIFO,50,dlp-first,45.7663
rt,SCHED_FIFO,50,dlp-first,48.7018
rt,SCHED_FIFO,50,dlp-first,50.7198
rt,SCHED_FIFO,50,dlp-first,51.4851
rt,SCHED_FIFO,50,dlp-first,38.4144
rt,SCHED_FIFO,50,dlp-first,52.6022
rt,SCHED_FIFO,50,dlp-first,53.4893
rt,SCHED_FIFO,50,dlp-first,48.8345
rt,SCHED_FIFO,50,dlp-first,52.3625
rt,SCHED_FIFO,50,dlp-first,21.3018
rt,SCHED_FIFO,50,dlp-first,44.7721
rt,SCHED_FIFO,50,dlp-first,44.3995
rt,SCHED_FIFO,50,dlp-first,40.7948
rt,SCHED_FIFO,50,dlp-first,58.2441
rt,SCHED_FIFO,50,dlp-first,47.5038
rt,SCHED_FIFO,50,dlp-first,52.0805
rt,SCHED_FIFO,50,dlp-first,44.6462
rt,SCHED_FIFO,50,dlp-first,48.1359
rt,SCHED_FIFO,50,dlp-first,45.1349
rt,SCHED_FIFO,50,dlp-first,20.4206
rt,SCHED_FIFO,50,dlp-first,55.4558
rt,SCHED_FIFO,50,dlp-first,37.1143
rt,SCHED_FIFO,50,dlp-first,68.5896
rt,SCHED_FIFO,50,dlp-first,50.3874
rt,SCHED_FIFO,50,dlp-first,43.0106
rt,SCHED_FIFO,50,dlp-first,52.8538
rt,SCHED_FIFO,50,dlp-first,46.8982
rt,SCHED_FIFO,50,dlp-first,36.8514
rt,SCHED_FIFO,50,dlp-first,38.3389
rt,SCHED_FIFO,50,dlp-first,35.0257
rt,SCHED_FIFO,50,dlp-first,51.1173
rt,SCHED_FIFO,50,dlp-first,47.3567
rt,SCHED_FIFO,50,dlp-first,37.0277
rt,SCHED_FIFO,50,dlp-first,44.4832
rt,SCHED_FIFO,50,dlp-first,43.7657
rt,SCHED_FIFO,50,dlp-first,47.3463
rt,SCHED_FIFO,50,dlp-first,53.9648
rt,SCHED_FIFO,50,dlp-first,37.6082
rt,SCHED_FIFO,50,dlp-first,50.4168
rt,SCHED_FIFO,50,dlp-first,40.4104
rt,SCHED_FIFO,50,dlp-first,30.2793
rt,SCHED_FIFO,50,dlp-first,51.8019
rt,SCHED_FIFO,50,dlp-first,59.1626
rt,SCHED_FIFO,50,dlp-first,52.0690
rt,SCHED_FIFO,50,dlp-first,45.7983
rt,SCHED_FIFO,50,dlp-first,57.4298
rt,SCHED_FIFO,50,dlp-first,69.4781
rt,SCHED_FIFO,50,dlp-first,41.1281
rt,SCHED_FIFO,50,dlp-first,40.2876
rt,SCHED_FIFO,50,dlp-first,42.1550
rt,SCHED_FIFO,50,dlp-first,32.0479
